# Transfer functions at z=99
# k/h[Mpc^-1]  T_cdm  T_baryon  T_photon  T_nu  T_total
 8.5848440e-01  8.6296375e+02  6.1538000e+02  3.4517222e-03  1.4029648e-02  8.1917993e+02
 1.0728681e+00  5.9513892e+02  4.2441821e+02  1.5242031e-03  5.1180073e-03  5.6494733e+02
 1.3407883e+00  4.0864731e+02  2.9143729e+02  6.7012047e-04  2.8100028e-03  3.8791864e+02
 1.6756146e+00  2.7948557e+02  1.9932985e+02  2.9345532e-04  1.1694416e-03  2.6530984e+02
 2.0940548e+00  1.9046320e+02  1.3584293e+02  1.2804741e-04  4.7590036e-04  1.8080338e+02
 2.6169894e+00  1.2937292e+02  9.2273911e+01  5.5690256e-05  2.3723762e-04  1.2281176e+02
 3.2705129e+00  8.7615166e+01  6.2491390e+01  2.4148489e-05  1.0565487e-04  8.3171867e+01
 4.0872366e+00  5.9174007e+01  4.2205791e+01  1.0442753e-05  5.5952834e-05  5.6173077e+01
 5.1079153e+00  3.9865360e+01  2.8433479e+01  4.5045472e-06  2.1885526e-05  3.7843575e+01
 6.3834814e+00  2.6795500e+01  1.9110811e+01  1.9385898e-06  6.0322209e-06  2.5436436e+01
 7.9775863e+00  1.7972466e+01  1.2817186e+01  8.3252326e-07  2.5910829e-06  1.7060757e+01
 9.9697765e+00  1.2031046e+01  8.5789299e+00  3.5682126e-07  8.2848044e-07  1.1420566e+01
 1.2459463e+01  8.0391817e+00  5.7312646e+00  1.5265410e-07  2.8338349e-07  7.6310701e+00
 1.5570883e+01  5.3627801e+00  3.8219247e+00  6.5196076e-08  4.5287700e-07  5.0903363e+00
 1.9459297e+01  3.5718093e+00  2.5441804e+00  2.7799198e-08  2.1893614e-07  3.3901401e+00
 2.4318740e+01  2.3754857e+00  1.6906173e+00  1.1835163e-08  1.0409734e-07  2.2544422e+00
 3.0391699e+01  1.5776932e+00  1.1213456e+00  5.0311604e-09  8.4030483e-10  1.4970702e+00
 3.7981218e+01  1.0464879e+00  7.4224746e-01  2.1355977e-09  9.3348174e-09  9.9277067e-01
 4.7466018e+01  6.9329423e-01  4.9013984e-01  9.0513141e-10 -5.5081522e-09  6.5745872e-01
 5.9319394e+01  4.5877224e-01  3.2269487e-01  3.8299847e-10  1.9723982e-09  4.3480346e-01
 7.4132836e+01  3.0324286e-01  2.1161005e-01  1.6176414e-10 -5.2263915e-10  2.8713769e-01
 9.2645542e+01  2.0021968e-01  1.3799572e-01  6.8172135e-11  5.3501736e-10  1.8931849e-01
 1.1578130e+02  1.3205145e-01  8.9267410e-02  2.8649328e-11  2.3987323e-10  1.2459067e-01
 1.4469461e+02  8.6992502e-02  5.7057511e-02  1.1995389e-11  9.7637405e-11  8.1805691e-02
 1.8082824e+02  5.7237968e-02  3.5815444e-02  4.9974105e-12 -3.1438317e-11  5.3557064e-02
 2.2598529e+02  3.7608560e-02  2.1871280e-02  2.0680617e-12  2.5464042e-11  3.4931909e-02
 2.8241911e+02  2.4671750e-02  1.2809613e-02  8.4846301e-13 -2.0779890e-11  2.2676881e-02
 3.5294578e+02  1.6155524e-02  7.0485589e-03  3.4463532e-13 -3.7949058e-12  1.4641186e-02
 4.4108461e+02  1.0557839e-02  3.5495295e-03  1.3873806e-13  5.1691563e-12  9.4040399e-03
 5.5123376e+02  6.8865540e-03  1.6054491e-03  5.5697902e-14  1.8233167e-12  6.0237087e-03
 6.8888975e+02  4.4861557e-03  6.7989499e-04  2.2559740e-14 -3.3425685e-13  3.8672204e-03
 8.6092166e+02  2.9222383e-03  3.1358338e-04  9.2847610e-15 -1.2328628e-14  2.4989857e-03
 1.0759140e+03  1.9054825e-03  1.5429840e-04  3.8414011e-15 -3.6259946e-13  1.6217007e-03
 1.3445949e+03  1.2437651e-03  6.2592982e-05  1.5838523e-15 -3.0069098e-13  1.0526106e-03
 1.6803717e+03  8.1221957e-04  2.8564411e-05  6.5887665e-16  2.5093905e-13  6.8547705e-04
 2.0999999e+03  5.3058442e-04  1.1633932e-05  2.7397797e-16  1.5393688e-13  4.4669822e-04
